guess,elim_perc_mean,elim_perc_mean_rank,elim_perc_median,elim_perc_median_rank,elim_more_than_50,elim_more_than_50_rank
OPIUM,0.9225587014267882,162.0,0.9488956258120398,897.5,0.9995669120831528,1.5
MILKY,0.9091530541705166,1018.0,0.9391511476829796,1607.0,0.9995669120831528,1.5
AUDIO,0.9377903359095935,1.0,0.9512776093546991,695.5,0.9991338241663058,19.5
LYRIC,0.9352010030826552,2.0,0.9694673018622779,1.5,0.9991338241663058,19.5
HAIRY,0.9273292361364954,45.0,0.9532265049805112,533.5,0.9991338241663058,19.5
UNITY,0.9218751055511063,186.0,0.9491121697704633,879.5,0.9991338241663058,19.5
INLAY,0.9215647383871265,201.0,0.9441316587267216,1263.5,0.9991338241663058,19.5
SAUCY,0.9213264274450138,211.0,0.9493287137288868,858.5,0.9991338241663058,19.5
SLIMY,0.920479203898842,257.0,0.9493287137288868,858.5,0.9991338241663058,19.5
SCALY,0.9191212068216227,314.0,0.9488956258120398,897.5,0.9991338241663058,19.5
DAILY,0.9177395662966029,395.0,0.9480294499783456,969.5,0.9991338241663058,19.5
FAIRY,0.9175539839960127,410.0,0.9436985708098744,1294.0,0.9991338241663058,19.5
GAILY,0.915951108352292,506.0,0.9454309224772628,1177.0,0.9991338241663058,19.5
DECAY,0.9156065895414897,530.0,0.9510610653962754,710.5,0.9991338241663058,19.5
SILKY,0.9147786935756623,602.0,0.9428323949761802,1360.5,0.9991338241663058,19.5
CANDY,0.9135270920135435,691.0,0.94586401039411,1151.0,0.9991338241663058,19.5
FISHY,0.9131975849156303,725.0,0.9467301862278042,1095.5,0.9991338241663058,19.5
UNIFY,0.9119153969885003,829.0,0.9415331312256388,1460.0,0.9991338241663058,19.5
IMBUE,0.9118352719709554,836.0,0.9393676916414032,1591.0,0.9991338241663058,19.5
DIMLY,0.9117938021140995,840.0,0.9430489389346037,1343.5,0.9991338241663058,19.5
IMPLY,0.9102860632008125,936.0,0.938068427890862,1667.0,0.9991338241663058,19.5
DUCHY,0.9102318333880007,943.0,0.9480294499783456,969.5,0.9991338241663058,19.5
FANCY,0.9093179953658842,1008.0,0.9398007795582504,1561.0,0.9991338241663058,19.5
CURVY,0.9091097078495497,1024.0,0.9393676916414032,1591.0,0.9991338241663058,19.5
GAUDY,0.9089993717598155,1037.0,0.9406669553919446,1514.5,0.9991338241663058,19.5
JUICY,0.9065483343378671,1207.0,0.938501515807709,1644.5,0.9991338241663058,19.5
FILMY,0.9065481466914561,1208.0,0.9367691641403204,1734.5,0.9991338241663058,19.5
COMFY,0.9062402189308207,1230.0,0.9372022520571676,1708.0,0.9991338241663058,19.5
HEAVY,0.9061934949744539,1235.0,0.938501515807709,1644.5,0.9991338241663058,19.5
ICILY,0.9049120576329681,1332.0,0.9359029883066262,1781.0,0.9991338241663058,19.5
HILLY,0.9040000960749626,1409.0,0.9341706366392376,1855.5,0.9991338241663058,19.5
DUMPY,0.9006719993274753,1621.0,0.941966219142486,1420.5,0.9991338241663058,19.5
MUCKY,0.8996455734586912,1675.0,0.9359029883066262,1781.0,0.9991338241663058,19.5
CADDY,0.8930629373568728,1927.0,0.9237765266349068,2116.0,0.9991338241663058,19.5
